,DATE,Under,Total,underpct,cont
0,1955-05-01,2063,64381,0.032043615,US
1,1955-06-01,1982,64482,0.03073726,US
2,1955-07-01,2123,65145,0.03258884,US
3,1955-08-01,2203,65581,0.033592046,US
4,1955-09-01,2133,65628,0.032501371,US
5,1955-10-01,2093,65821,0.031798362,US
6,1955-11-01,2199,66037,0.033299514,US
7,1955-12-01,2149,66445,0.032342539,US
8,1956-01-01,2149,66419,0.0323552,US
9,1956-02-01,2087,66124,0.031561914,US
10,1956-03-01,1980,66175,0.029920665,US
11,1956-04-01,2051,66264,0.03095195,US
12,1956-05-01,2194,66722,0.032882707,US
13,1956-06-01,2331,66702,0.034946478,US
14,1956-07-01,2287,66752,0.034261146,US
15,1956-08-01,2353,66673,0.035291647,US
16,1956-09-01,2399,66714,0.035959469,US
17,1956-10-01,2417,66546,0.036320741,US
18,1956-11-01,2414,66657,0.036215251,US
19,1956-12-01,2306,66700,0.034572714,US
20,1957-01-01,2283,66428,0.034368038,US
21,1957-02-01,2426,66879,0.036274466,US
22,1957-03-01,2435,66913,0.036390537,US
23,1957-04-01,2283,66647,0.034255105,US
24,1957-05-01,2377,66695,0.035639853,US
25,1957-06-01,2476,67052,0.036926564,US
26,1957-07-01,2449,67336,0.036369847,US
27,1957-08-01,2440,66706,0.036578419,US
28,1957-09-01,2484,67064,0.037039246,US
29,1957-10-01,2641,67066,0.039379119,US
30,1957-11-01,2643,67123,0.039375475,US
31,1957-12-01,2712,67398,0.040238583,US
32,1958-01-01,3291,67095,0.049049855,US
33,1958-02-01,3437,67201,0.051145072,US
34,1958-03-01,3972,67223,0.05908692,US
35,1958-04-01,3743,67647,0.055331352,US
36,1958-05-01,3602,67895,0.053052508,US
37,1958-06-01,3340,67674,0.049354257,US
38,1958-07-01,2955,67824,0.043568648,US
39,1958-08-01,3178,68037,0.046709878,US
40,1958-09-01,3166,68002,0.046557454,US
41,1958-10-01,2969,68045,0.04363289,US
42,1958-11-01,2805,67658,0.041458512,US
43,1958-12-01,2825,67740,0.041703572,US
44,1959-01-01,2749,67936,0.040464555,US
45,1959-02-01,2515,67649,0.037177194,US
46,1959-03-01,2846,68068,0.04181113,US
47,1959-04-01,2592,68339,0.037928562,US
48,1959-05-01,2353,68178,0.034512599,US
49,1959-06-01,2543,68278,0.037244793,US
50,1959-07-01,2668,68539,0.038926742,US
51,1959-08-01,2599,68432,0.037979308,US
52,1959-09-01,2507,68545,0.036574513,US
53,1959-10-01,2730,68821,0.039668125,US
54,1959-11-01,2799,68533,0.040841638,US
55,1959-12-01,2734,68994,0.039626634,US
