,DATE,Under,Total,underpct,cont
0,01/05/1955,2063,64381,0.032043615,US
1,01/06/1955,1982,64482,0.03073726,US
2,01/07/1955,2123,65145,0.03258884,US
3,01/08/1955,2203,65581,0.033592046,US
4,01/09/1955,2133,65628,0.032501371,US
5,01/10/1955,2093,65821,0.031798362,US
6,01/11/1955,2199,66037,0.033299514,US
7,01/12/1955,2149,66445,0.032342539,US
8,01/01/1956,2149,66419,0.0323552,US
9,01/02/1956,2087,66124,0.031561914,US
10,01/03/1956,1980,66175,0.029920665,US
11,01/04/1956,2051,66264,0.03095195,US
12,01/05/1956,2194,66722,0.032882707,US
13,01/06/1956,2331,66702,0.034946478,US
14,01/07/1956,2287,66752,0.034261146,US
15,01/08/1956,2353,66673,0.035291647,US
16,01/09/1956,2399,66714,0.035959469,US
17,01/10/1956,2417,66546,0.036320741,US
18,01/11/1956,2414,66657,0.036215251,US
19,01/12/1956,2306,66700,0.034572714,US
20,01/01/1957,2283,66428,0.034368038,US
21,01/02/1957,2426,66879,0.036274466,US
22,01/03/1957,2435,66913,0.036390537,US
23,01/04/1957,2283,66647,0.034255105,US
24,01/05/1957,2377,66695,0.035639853,US
25,01/06/1957,2476,67052,0.036926564,US
26,01/07/1957,2449,67336,0.036369847,US
27,01/08/1957,2440,66706,0.036578419,US
28,01/09/1957,2484,67064,0.037039246,US
29,01/10/1957,2641,67066,0.039379119,US
30,01/11/1957,2643,67123,0.039375475,US
31,01/12/1957,2712,67398,0.040238583,US
32,01/01/1958,3291,67095,0.049049855,US
33,01/02/1958,3437,67201,0.051145072,US
34,01/03/1958,3972,67223,0.05908692,US
35,01/04/1958,3743,67647,0.055331352,US
36,01/05/1958,3602,67895,0.053052508,US
37,01/06/1958,3340,67674,0.049354257,US
38,01/07/1958,2955,67824,0.043568648,US
39,01/08/1958,3178,68037,0.046709878,US
40,01/09/1958,3166,68002,0.046557454,US
41,01/10/1958,2969,68045,0.04363289,US
42,01/11/1958,2805,67658,0.041458512,US
43,01/12/1958,2825,67740,0.041703572,US
44,01/01/1959,2749,67936,0.040464555,US
45,01/02/1959,2515,67649,0.037177194,US
46,01/03/1959,2846,68068,0.04181113,US
47,01/04/1959,2592,68339,0.037928562,US
48,01/05/1959,2353,68178,0.034512599,US
49,01/06/1959,2543,68278,0.037244793,US
50,01/07/1959,2668,68539,0.038926742,US
51,01/08/1959,2599,68432,0.037979308,US
52,01/09/1959,2507,68545,0.036574513,US
53,01/10/1959,2730,68821,0.039668125,US
54,01/11/1959,2799,68533,0.040841638,US
55,01/12/1959,2734,68994,0.039626634,US
56,01/01/1960,2507,68962,0.036353354,US
57,01/02/1960,2565,68949,0.03720141,US
58,01/03/1960,2405,68399,0.035161333,US
59,01/04/1960,2769,69579,0.03979649,US
60,01/05/1960,2733,69626,0.039252578,US
61,01/06/1960,2904,69934,0.041524866,US
62,01/07/1960,2830,69745,0.040576385,US
63,01/08/1960,2933,69841,0.04199539,US
64,01/09/1960,3071,70151,0.043776995,US
65,01/10/1960,3069,69884,0.043915632,US
66,01/11/1960,3119,70439,0.044279447,US
67,01/12/1960,3305,70395,0.046949357,US
68,01/01/1961,3428,70447,0.048660695,US
69,01/02/1961,3561,70420,0.05056802,US
70,01/03/1961,3325,70703,0.047027707,US
71,01/04/1961,3295,70267,0.046892567,US
72,01/05/1961,3269,70452,0.046400386,US
73,01/06/1961,3151,70878,0.044456672,US
74,01/07/1961,3035,70536,0.043027674,US
75,01/08/1961,3152,70534,0.044687668,US
76,01/09/1961,2976,70217,0.042382899,US
77,01/10/1961,2913,70492,0.041323838,US
78,01/11/1961,2875,70376,0.040851995,US
79,01/12/1961,2645,70077,0.037744196,US
80,01/01/1962,2392,70189,0.034079414,US
81,01/02/1962,2631,70409,0.037367382,US
82,01/03/1962,2783,70414,0.03952339,US
83,01/04/1962,2596,70278,0.036939014,US
84,01/05/1962,2756,70551,0.03906394,US
85,01/06/1962,2683,70514,0.038049182,US
86,01/07/1962,2759,70302,0.039244972,US
87,01/08/1962,2626,70981,0.036995816,US
88,01/09/1962,2675,71153,0.037595042,US
89,01/10/1962,2704,70917,0.03812908,US
90,01/11/1962,2714,70871,0.03829493,US
91,01/12/1962,2575,70854,0.036342338,US
92,01/01/1963,2613,71146,0.036727293,US
93,01/02/1963,2560,71262,0.035923774,US
94,01/03/1963,2645,71423,0.037032889,US
95,01/04/1963,2644,71697,0.036877415,US
96,01/05/1963,2571,71832,0.035791848,US
97,01/06/1963,2627,71626,0.036676626,US
98,01/07/1963,2482,71956,0.034493301,US
99,01/08/1963,2740,71786,0.038169002,US
100,01/09/1963,2723,72131,0.037750759,US
101,01/10/1963,2647,72281,0.036620965,US
102,01/11/1963,2623,72418,0.036220277,US
103,01/12/1963,2580,72188,0.035740012,US
104,01/01/1964,2428,72356,0.033556305,US
105,01/02/1964,2567,72683,0.03531775,US
106,01/03/1964,2467,72713,0.033927908,US
107,01/04/1964,2562,73274,0.034964653,US
108,01/05/1964,2539,73395,0.034593637,US
109,01/06/1964,2484,73032,0.034012488,US
110,01/07/1964,2369,73007,0.032448943,US
111,01/08/1964,2369,73118,0.032399683,US
112,01/09/1964,2455,73290,0.033497066,US
113,01/10/1964,2435,73308,0.03321602,US
114,01/11/1964,2367,73286,0.03229812,US
115,01/12/1964,2462,73465,0.033512557,US
116,01/01/1965,2383,73569,0.03239136,US
117,01/02/1965,2304,73857,0.031195418,US
118,01/03/1965,2296,73949,0.031048425,US
119,01/04/1965,2230,74228,0.030042572,US
120,01/05/1965,2258,74466,0.030322563,US
121,01/06/1965,2170,74412,0.029161963,US
122,01/07/1965,2289,74761,0.030617568,US
123,01/08/1965,2259,74616,0.030275008,US
124,01/09/1965,2019,74502,0.027099944,US
125,01/10/1965,2168,74838,0.02896924,US
126,01/11/1965,2077,74797,0.027768493,US
127,01/12/1965,2037,75093,0.027126363,US
128,01/01/1966,2081,75186,0.027678025,US
129,01/02/1966,1884,74954,0.025135416,US
130,01/03/1966,1905,75075,0.025374625,US
131,01/04/1966,1908,75338,0.025325865,US
132,01/05/1966,1923,75447,0.025488091,US
133,01/06/1966,2185,75647,0.028884159,US
134,01/07/1966,2128,75736,0.028097602,US
135,01/08/1966,1942,76046,0.025537175,US
136,01/09/1966,1856,76056,0.024403071,US
137,01/10/1966,1857,76199,0.024370399,US
138,01/11/1966,1738,76610,0.022686333,US
139,01/12/1966,2007,76641,0.026187028,US
140,01/01/1967,2182,76639,0.028471144,US
141,01/02/1967,2322,76521,0.030344611,US
142,01/03/1967,2308,76328,0.030237921,US
143,01/04/1967,2374,76777,0.030920718,US
144,01/05/1967,1835,76773,0.023901632,US
145,01/06/1967,2095,77270,0.027112722,US
146,01/07/1967,2062,77464,0.026618816,US
147,01/08/1967,2069,77712,0.026623945,US
148,01/09/1967,2233,77812,0.028697373,US
149,01/10/1967,2180,78194,0.027879377,US
150,01/11/1967,2227,78191,0.028481539,US
151,01/12/1967,2124,78491,0.027060427,US
152,01/01/1968,1873,77578,0.024143443,US
153,01/02/1968,2153,78230,0.027521411,US
154,01/03/1968,1983,78256,0.02533991,US
155,01/04/1968,1943,78270,0.024824326,US
156,01/05/1968,1933,78847,0.024515834,US
157,01/06/1968,2052,79120,0.025935288,US
158,01/07/1968,1950,78970,0.024692921,US
159,01/08/1968,1962,78811,0.024895002,US
160,01/09/1968,1946,78858,0.024677268,US
161,01/10/1968,1883,78913,0.023861721,US
162,01/11/1968,1927,79209,0.024328044,US
163,01/12/1968,1988,79463,0.025017933,US
164,01/01/1969,1914,79523,0.024068508,US
165,01/02/1969,1952,80019,0.024394206,US
166,01/03/1969,2044,80079,0.025524794,US
167,01/04/1969,1951,80281,0.024302139,US
168,01/05/1969,1961,80125,0.024474259,US
169,01/06/1969,2092,80696,0.025924457,US
170,01/07/1969,2004,80827,0.024793695,US
171,01/08/1969,2142,81106,0.026409883,US
172,01/09/1969,2190,81290,0.026940583,US
173,01/10/1969,2165,81494,0.026566373,US
174,01/11/1969,2084,81397,0.025602909,US
175,01/12/1969,2122,81624,0.025997256,US
176,01/01/1970,2182,81981,0.026615923,US
177,01/02/1970,2186,82151,0.026609536,US
178,01/03/1970,2236,82498,0.027103687,US
179,01/04/1970,2631,82727,0.031803402,US
180,01/05/1970,2487,82483,0.030151668,US
181,01/06/1970,2353,82484,0.028526745,US
182,01/07/1970,2493,82901,0.030072014,US
183,01/08/1970,2438,82880,0.029416023,US
184,01/09/1970,2425,82954,0.029233069,US
185,01/10/1970,2612,83276,0.03136558,US
186,01/11/1970,2581,83548,0.030892421,US
187,01/12/1970,2760,83670,0.032986734,US
188,01/01/1971,2756,83850,0.032868217,US
189,01/02/1971,2732,83603,0.032678253,US
190,01/03/1971,2747,83575,0.032868681,US
191,01/04/1971,2806,83946,0.03342625,US
192,01/05/1971,2720,84135,0.032328995,US
193,01/06/1971,2431,83706,0.029042124,US
194,01/07/1971,2701,84340,0.032025136,US
195,01/08/1971,2676,84673,0.031603935,US
196,01/09/1971,2636,84731,0.031110219,US
197,01/10/1971,2726,84872,0.032118956,US
198,01/11/1971,2819,85458,0.032986964,US
199,01/12/1971,2606,85625,0.030435036,US
200,01/01/1972,2669,85978,0.031042825,US
201,01/02/1972,2585,86036,0.030045562,US
202,01/03/1972,2637,86611,0.030446479,US
203,01/04/1972,2728,86614,0.031496063,US
204,01/05/1972,2565,86809,0.029547628,US
205,01/06/1972,2805,87006,0.032239156,US
206,01/07/1972,2799,87143,0.032119619,US
207,01/08/1972,2831,87517,0.032348001,US
208,01/09/1972,2678,87392,0.030643537,US
209,01/10/1972,2562,87491,0.029283012,US
210,01/11/1972,2407,87592,0.027479679,US
211,01/12/1972,2366,87943,0.02690379,US
212,01/01/1973,2170,87487,0.024803685,US
213,01/02/1973,2393,88364,0.027081164,US
214,01/03/1973,2369,88846,0.026664115,US
215,01/04/1973,2338,89018,0.026264351,US
216,01/05/1973,2392,88977,0.026883352,US
217,01/06/1973,2744,89548,0.030642784,US
218,01/07/1973,2703,89604,0.030166064,US
219,01/08/1973,2609,89509,0.029147907,US
220,01/09/1973,2644,89838,0.029430753,US
221,01/10/1973,2655,90131,0.029457124,US
222,01/11/1973,2687,90716,0.029619913,US
223,01/12/1973,2846,90890,0.031312576,US
224,01/01/1974,2748,91199,0.030131909,US
225,01/02/1974,2963,91485,0.032387823,US
226,01/03/1974,2720,91453,0.029742053,US
227,01/04/1974,2629,91287,0.028799281,US
228,01/05/1974,2872,91596,0.031355081,US
229,01/06/1974,2784,91868,0.03030435,US
230,01/07/1974,2821,92212,0.030592548,US
