Date,Value,Status
03/31/2005,169838,Received
06/30/2005,170495,Received
09/30/2005,160679,Received
12/31/2005,147130,Received
03/31/2006,165373,Received
06/30/2006,170192,Received
09/30/2006,156987,Received
12/31/2006,149086,Received
03/31/2007,168466,Received
06/30/2007,173666,Received
09/30/2007,166397,Received
12/31/2007,150555,Received
03/31/2008,157697,Received
06/30/2008,149509,Received
09/30/2008,135099,Received
12/31/2008,110989,Received
03/31/2009,111351,Received
06/30/2009,117989,Received
09/30/2009,118809,Received
12/31/2009,111206,Received
03/31/2010,118376,Received
06/30/2010,127043,Received
09/30/2010,126447,Received
12/31/2010,110594,Received
03/31/2011,119913,Received
06/30/2011,122921,Received
09/30/2011,121807,Received
12/31/2011,111891,Received
03/31/2012,120814,Received
06/30/2012,120967,Received
09/30/2012,113346,Received
12/31/2012,106558,Received
03/31/2013,113954,Received
06/30/2013,124904,Received
09/30/2013,118580,Received
12/31/2013,109014,Received
03/31/2014,119389,Received
06/30/2014,123126,Received
09/30/2014,118804,Received
12/31/2014,110928,Received
03/31/2015,121048,Received
06/30/2015,123640,Received
09/30/2015,119289,Received
12/31/2015,111141,Received
03/31/2016,120231,Received
06/30/2016,130714,Received
09/30/2016,120696,Received
12/31/2016,112016,Received
03/31/2017,123255,Received
06/30/2017,123289,Received
09/30/2017,117815,Received
12/31/2017,112288,Received
03/31/2018,116666,Received
06/30/2018,117913,Received
09/30/2018,110240,Received
12/31/2018,107497,Received
03/31/2019,111478,Received
06/30/2019,113895,Received
09/30/2019,106434,Received
12/31/2019,100325,Received
03/31/2020,103797,Received
06/30/2020,88278,Received
09/30/2020,106822,Received
12/31/2020,111761,Received
03/31/2021,124585,Received
06/30/2021,128371,Received
09/30/2021,114500,Received
12/31/2021,106498,Received
03/31/2022,109905,Received
06/30/2022,106937,Received
09/30/2022,99502,Received
12/31/2022,93216,Received
03/31/2023,96199,Received
06/30/2023,92638,Received
09/30/2023,87721,Received
12/31/2023,85243,Received
03/31/2005,140324,Decided
06/30/2005,163940,Decided
09/30/2005,157872,Decided
12/31/2005,142852,Decided
03/31/2006,133989,Decided
06/30/2006,155307,Decided
09/30/2006,155160,Decided
12/31/2006,140898,Decided
03/31/2007,136141,Decided
06/30/2007,156120,Decided
09/30/2007,159617,Decided
12/31/2007,148308,Decided
03/31/2008,131612,Decided
06/30/2008,144071,Decided
09/30/2008,136267,Decided
12/31/2008,115592,Decided
03/31/2009,93061,Decided
06/30/2009,104652,Decided
09/30/2009,111981,Decided
12/31/2009,105246,Decided
03/31/2010,95686,Decided
06/30/2010,112507,Decided
09/30/2010,120306,Decided
12/31/2010,110207,Decided
03/31/2011,96829,Decided
06/30/2011,109573,Decided
09/30/2011,116633,Decided
12/31/2011,108545,Decided
03/31/2012,100445,Decided
06/30/2012,110554,Decided
09/30/2012,110653,Decided
12/31/2012,103796,Decided
03/31/2013,94212,Decided
06/30/2013,110641,Decided
09/30/2013,114586,Decided
12/31/2013,105290,Decided
03/31/2014,95822,Decided
06/30/2014,104167,Decided
09/30/2014,108545,Decided
12/31/2014,101650,Decided
03/31/2015,95483,Decided
06/30/2015,108141,Decided
09/30/2015,112210,Decided
12/31/2015,106040,Decided
03/31/2016,98799,Decided
06/30/2016,114309,Decided
09/30/2016,116003,Decided
12/31/2016,107122,Decided
03/31/2017,102506,Decided
06/30/2017,112000,Decided
09/30/2017,112604,Decided
12/31/2017,106378,Decided
03/31/2018,100225,Decided
06/30/2018,106912,Decided
09/30/2018,105401,Decided
12/31/2018,100950,Decided
03/31/2019,92990,Decided
06/30/2019,103900,Decided
09/30/2019,103062,Decided
12/31/2019,95835,Decided
03/31/2020,88466,Decided
