Percent,Type,Year
0.092,Real,2010
0.125,Real,2011
0.161,Real,2012
0.163,Real,2013
0.186,Real,2014
0.165,Real,2015
0.165,Real,2016
0.167,Real,2017
0.18,Real,2018
0.259,Real,2019
0.158,Real,2020
0.141,Real,2021
0.169,Real,2022
0.306,Forecast,2023
0.368,Forecast,2024
0.36,Forecast,2025
0.316,Forecast,2026
0.268,Forecast,2027
