country_da,country,group,n2017_k,n2018_k,n2019_k,v2017,v2018,v2019
Polen,Poland,Western,46,48,48,10,10,20
Tyskland,Germany,Western,33,34,34,25,22,34
Rumaenien,Romania,Western,28,30,32,3,5,13
Norge,Norway,Western,17,17,17,21,22,30
Storbritannien,United Kingdom,Western,16,17,17,90,88,101
Sverige,Sweden,Western,16,17,17,51,46,55
Litauen,Lithuania,Western,14,15,15,12,15,24
Bulgarien,Bulgaria,Western,10,10,11,-20,-10,1
USA,United States,Western,10,10,10,82,68,100
Italien,Italy,Western,9,9,9,50,53,63
Island,Iceland,Western,9,9,9,-2,-2,8
Nederlandene,Netherlands,Western,8,8,8,81,69,81
Frankrig,France,Western,7,7,7,86,90,102
Spanien,Spain,Western,6,7,7,32,40,49
Ungarn,Hungary,Western,6,6,6,-2,2,11
Letland,Latvia,Western,5,6,6,-20,-14,-3
Tyrkiet,Turkey,MENAPT,63,64,64,-65,-57,-48
Syrien,Syria,MENAPT,39,42,42,-134,-132,-122
Irak,Iraq,MENAPT,32,33,33,-127,-118,-111
Libanon,Lebanon,MENAPT,27,27,27,-132,-126,-120
Pakistan,Pakistan,MENAPT,25,25,26,-57,-51,-45
Iran,Iran,MENAPT,21,21,21,-64,-53,-42
Somalia,Somalia,MENAPT,21,21,21,-155,-149,-145
Afghanistan,Afghanistan,MENAPT,18,19,19,-121,-113,-98
Marokko,Morocco,MENAPT,11,11,12,-81,-76,-70
Bosnien-Hercegovina,Bosnia and Herzegovina,Other non-Western,23,23,23,-66,-62,-53
Vietnam,Vietnam,Other non-Western,15,16,16,-44,-37,-26
Kina,China,Other non-Western,14,14,15,10,13,24
Jugoslavien,Former Yugoslavia,Other non-Western,15,15,14,-64,-59,-48
Indien,India,Other non-Western,12,13,14,60,60,69
Ukraine,Ukraine,Other non-Western,11,12,14,7,9,19
Thailand,Thailand,Other non-Western,12,13,13,-13,-8,3
Filippinerne,Philippines,Other non-Western,12,12,12,-19,-12,-2
Sri Lanka,Sri Lanka,Other non-Western,12,12,12,-57,-50,-37
Rusland,Russia,Other non-Western,7,7,8,-14,-9,4
Eritrea,Eritrea,Other non-Western,5,6,7,-108,-99,-85
Nordmakedonien,North Macedonia,Other non-Western,5,6,6,-20,-33,-20
