date,value,id,country,value_pct
2025,73.091251591104,ARG,Argentina,0.73091251591104
2025,50.936501060367,AUS,Australia,0.50936501060367
2025,92.041318027898,BRA,Brazil,0.92041318027898
2025,112.54106357287,CAN,Canada,1.1254106357287
2025,96.305713563963,CHN,China,0.9630571356396299
2025,116.3007960432,FRA,France,1.163007960432
2025,65.380637644952,DEU,Germany,0.65380637644952
2025,80.391094275688,IND,India,0.80391094275688
2025,40.990083942977,IDN,Indonesia,0.40990083942977
2025,137.27979668867,ITA,Italy,1.3727979668866999
2025,234.85787511531,JPN,Japan,2.3485787511531
2025,60.663899752961,MEX,Mexico,0.60663899752961
2025,21.38267313071,RUS,Russia,0.2138267313071
2025,34.849040566528,SAU,Saudi Arabia,0.34849040566527995
2025,79.5510497764,ZAF,South Africa,0.7955104977640001
2025,54.45306660843,KOR,South Korea,0.5445306660843
2025,26.672828587464,TUR,Türkiye,0.26672828587464
2025,103.89434254602,GBR,UK,1.0389434254602
2025,122.46421163238,USA,US,1.2246421163238
