date,country,yield
2006-06-30,GBR,4.704
2006-07-31,GBR,4.603
2006-08-31,GBR,4.515
2006-09-30,GBR,4.524
2006-10-31,GBR,4.515
2006-11-30,GBR,4.509
2006-12-31,GBR,4.743
2007-01-31,GBR,4.979
2007-02-28,GBR,4.799
2007-03-31,GBR,4.935
2007-04-30,GBR,5.04
2007-05-31,GBR,5.252
2007-06-30,GBR,5.462
2007-07-31,GBR,5.248
2007-08-31,GBR,5.043
2007-09-30,GBR,5.041
2007-10-31,GBR,4.995
2007-11-30,GBR,4.687
2007-12-31,GBR,4.566
2008-01-31,GBR,4.532
2008-02-29,GBR,4.47
2008-03-31,GBR,4.351
2008-04-30,GBR,4.673
2008-05-31,GBR,4.975
2008-06-30,GBR,5.13
2008-07-31,GBR,4.809
2008-08-31,GBR,4.479
2008-09-30,GBR,4.451
2008-10-31,GBR,4.51
2008-11-30,GBR,3.771
2008-12-31,GBR,3.017
2009-01-31,GBR,3.704
2009-02-28,GBR,3.609
2009-03-31,GBR,3.164
2009-04-30,GBR,3.512
2009-05-31,GBR,3.736
2009-06-30,GBR,3.685
2009-07-31,GBR,3.803
2009-08-31,GBR,3.563
2009-09-30,GBR,3.587
2009-10-31,GBR,3.615
2009-11-30,GBR,3.525
2009-12-31,GBR,4.012
2010-01-31,GBR,3.906
2010-02-28,GBR,4.039
2010-03-31,GBR,3.946
2010-04-30,GBR,3.915
2010-05-31,GBR,3.588
2010-06-30,GBR,3.358
2010-07-31,GBR,3.332
2010-08-31,GBR,2.834
2010-09-30,GBR,2.946
2010-10-31,GBR,3.072
2010-11-30,GBR,3.222
2010-12-31,GBR,3.395
2011-01-31,GBR,3.659
2011-02-28,GBR,3.689
2011-03-31,GBR,3.691
2011-04-30,GBR,3.484
2011-05-31,GBR,3.299
2011-06-30,GBR,3.39
2011-07-31,GBR,2.866
2011-08-31,GBR,2.605
2011-09-30,GBR,2.42
2011-10-31,GBR,2.442
2011-11-30,GBR,2.317
2011-12-31,GBR,1.977
2012-01-31,GBR,1.969
2012-02-29,GBR,2.148
2012-03-31,GBR,2.202
2012-04-30,GBR,2.11
2012-05-31,GBR,1.574
2012-06-30,GBR,1.731
2012-07-31,GBR,1.471
2012-08-31,GBR,1.474
2012-09-30,GBR,1.715
2012-10-31,GBR,1.846
2012-11-30,GBR,1.773
2012-12-31,GBR,1.836
2013-01-31,GBR,2.095
2013-02-28,GBR,1.972
2013-03-31,GBR,1.762
2013-04-30,GBR,1.674
2013-05-31,GBR,2.007
2013-06-30,GBR,2.439
2013-07-31,GBR,2.357
2013-08-31,GBR,2.777
2013-09-30,GBR,2.719
2013-10-31,GBR,2.623
2013-11-30,GBR,2.77
