country,ecoSeries
gbr,12
idn,12
ind,10
jpn,10
usa,10
can,10
tur,10
cod,10
tha,10
eth,10
pak,10
phl,9
vnm,9
bgd,9
fra,9
egy,9
nga,8
deu,8
mex,7
rus,7
chn,7
irn,6
bra,5
aus,4
