Year,Tax Revenue
1949,37.2
1950,36.9
1951,36.1
1952,34.8
1953,34
1954,31.7
1955,30.9
1956,29.6
1957,29.3
1958,28.9
1959,29.5
1960,28.4
1961,27.9
1962,29.9
1963,29.6
1964,28.7
1965,29.1
1966,30.7
1967,31.4
1968,32.6
1969,33.8
1970,35.1
1971,33.7
1972,32.1
1973,29.8
1974,29.8
1975,32.5
1976,33.4
1977,32.8
1978,31.6
1979,30.4
1980,31.2
1981,32.1
1982,34
1983,33.7
1984,33
1985,33.6
1986,32.7
1987,32.5
1988,31.6
1989,31.1
1990,30.7
1991,30.4
1992,30.3
1993,29.1
1994,28.3
1995,29.3
1996,30.1
1997,29.6
1998,31.2
1999,31.8
2000,32.5
2001,33.1
2002,32.5
2003,31.4
2004,32.3
2005,32.9
2006,33.3
2007,33.8
2008,33.7
2009,32.2
2010,32.3
2011,33.2
2012,33.5
2013,32.8
2014,32.6
2015,32.6
2016,32.7
2017,33.4
2018,33.3
2019,33.8
2020,33.1
2021,34
2022,35.5
