observation_date,IEABCPIA
1999-01-01,9974
2000-01-01,14632
2001-01-01,23244
2002-01-01,17506
2003-01-01,29254
2004-01-01,46583
2005-01-01,44186
2006-01-01,15974
2007-01-01,64356
2008-01-01,112019
2009-01-01,115539
2010-01-01,169911
2011-01-01,202431
2012-01-01,197859
2013-01-01,195460
2014-01-01,200235
2015-01-01,185205
2016-01-01,196442
2017-01-01,257942
2018-01-01,255275
2019-01-01,247400
2020-01-01,177717
2021-01-01,119058
2022-01-01,115959
2023-01-01,67029
2024-01-01,-8890
