lad,Code
E06000001,E0701
E06000002,E0702
E06000003,E0703
E06000004,E0704
E06000005,E1301
E06000006,E0601
E06000007,E0602
E06000008,E2301
E06000009,E2302
E06000010,E2002
E06000011,E2001
E06000012,E2003
E06000013,E2004
E06000014,E2701
E06000015,E1001
E06000016,E2401
E06000017,E2402
E06000018,E3001
E06000019,E1801
E06000020,E3201
E06000021,E3401
E06000022,E0101
E06000023,E0102
E06000024,E0104
E06000025,E0103
E06000026,E1101
E06000027,E1102
E06000030,E3901
E06000031,E0501
E06000032,E0201
E06000033,E1501
E06000034,E1502
E06000035,E2201
E06000036,E0301
E06000037,E0302
E06000038,E0303
E06000039,E0304
E06000040,E0305
E06000041,E0306
E06000042,E0401
E06000043,E1401
E06000044,E1701
E06000045,E1702
E06000046,E2101
E06000047,E1302
E06000049,E0603
E06000050,E0604
E06000051,E3202
E06000052,E0801
E06000053,E4001
E06000054,E3902
E06000055,E0202
E06000056,E0203
E06000057,E2901
E06000058,E1204
E06000059,E1203
E06000060,E0402
E06000061,E2801
E06000062,E2802
E07000008,E0531
E07000009,E0532
E07000010,E0533
E07000011,E0551
E07000012,E0536
E07000026,E0931
E07000027,E0932
E07000028,E0933
E07000029,E0934
E07000030,E0935
E07000031,E0936
E07000032,E1031
E07000033,E1032
E07000034,E1033
E07000035,E1035
E07000036,E1036
E07000037,E1037
E07000038,E1038
E07000039,E1039
E07000040,E1131
E07000041,E1132
E07000042,E1133
E07000043,E1134
E07000044,E1136
E07000045,E1137
E07000046,E1139
E07000047,E1140
E07000061,E1432
E07000062,E1433
E07000063,E1435
E07000064,E1436
E07000065,E1437
E07000066,E1531
E07000067,E1532
E07000068,E1533
E07000069,E1534
E07000070,E1535
E07000071,E1536
E07000072,E1537
E07000073,E1538
E07000074,E1539
E07000075,E1540
E07000076,E1542
E07000077,E1544
E07000078,E1631
E07000079,E1632
E07000080,E1633
E07000081,E1634
E07000082,E1635
E07000083,E1636
E07000084,E1731
E07000085,E1732
E07000086,E1733
E07000087,E1734
E07000088,E1735
E07000089,E1736
E07000090,E1737
E07000091,E1738
E07000092,E1740
E07000093,E1742
E07000094,E1743
E07000095,E1931
E07000096,E1932
E07000098,E1934
E07000099,E1935
E07000102,E1938
E07000103,E1939
E07000105,E2231
E07000106,E2232
E07000107,E2233
E07000108,E2234
E07000109,E2236
E07000110,E2237
E07000111,E2239
E07000112,E2240
E07000113,E2241
E07000114,E2242
E07000115,E2243
E07000116,E2244
E07000117,E2333
E07000118,E2334
E07000119,E2335
E07000120,E2336
E07000121,E2337
E07000122,E2338
E07000123,E2339
E07000124,E2340
E07000125,E2341
E07000126,E2342
E07000127,E2343
E07000128,E2344
E07000129,E2431
E07000130,E2432
E07000131,E2433
E07000132,E2434
E07000133,E2436
E07000134,E2437
E07000135,E2438
E07000136,E2531
E07000137,E2532
E07000138,E2533
E07000139,E2534
E07000140,E2535
E07000141,E2536
E07000142,E2537
E07000143,E2631
E07000144,E2632
E07000145,E2633
E07000146,E2634
E07000147,E2635
E07000148,E2636
E07000149,E2637
E07000163,E2731
E07000164,E2732
E07000165,E2753
E07000166,E2734
E07000167,E2755
E07000168,E2736
E07000169,E2757
E07000170,E3031
E07000171,E3032
E07000172,E3033
E07000173,E3034
E07000174,E3035
E07000175,E3036
E07000176,E3038
E07000177,E3131
E07000178,E3132
E07000179,E3133
E07000180,E3134
E07000181,E3135
E07000187,E3331
E07000188,E3332
E07000189,E3334
E07000192,E3431
E07000193,E3432
E07000194,E3433
E07000195,E3434
E07000196,E3435
E07000197,E3436
E07000198,E3437
E07000199,E3439
E07000200,E3531
E07000202,E3533
E07000203,E3534
E07000207,E3631
E07000208,E3632
E07000209,E3633
E07000210,E3634
E07000211,E3635
E07000212,E3636
E07000213,E3637
E07000214,E3638
E07000215,E3639
E07000216,E3640
E07000217,E3641
E07000218,E3731
E07000219,E3732
E07000220,E3733
E07000221,E3734
E07000222,E3735
E07000223,E3831
E07000224,E3832
E07000225,E3833
E07000226,E3834
E07000227,E3835
E07000228,E3836
E07000229,E3837
E07000234,E1831
E07000235,E1851
E07000236,E1835
E07000237,E1837
E07000238,E1838
E07000239,E1839
E07000240,E1936
E07000241,E1940
E07000242,E1933
E07000243,E1937
E07000244,E3538
E07000245,E3539
E07000246,E3336
E08000001,E4201
E08000002,E4202
E08000003,E4203
E08000004,E4204
E08000005,E4205
E08000006,E4206
E08000007,E4207
E08000008,E4208
E08000009,E4209
E08000010,E4210
E08000011,E4301
E08000012,E4302
E08000013,E4303
E08000014,E4304
E08000015,E4305
E08000016,E4401
E08000017,E4402
E08000018,E4403
E08000019,E4404
E08000021,E4502
E08000022,E4503
E08000023,E4504
