Code,Name,Borrowing,Assets,Population,Income,DebtToAssets,DebtToAssetsRank,DebtToPop,DebtToIncome,PopulationChange,Country,lad
S8711,South Lanarkshire,1014532,108678,,,9.335210438,81,,,,S,S12000029
E0602,Warrington,1902258,210854,,,9.02168325,82,,,,E,E06000007
E1631,Cheltenham,183097,20577,,,8.898138699,83,,,,E,E07000078
W7403,Merthyr Tydfil,112335,12938,,,8.682562993,84,,,,W,W06000024
E4605,Solihull,328765,38289,,,8.586408629,85,,,,E,E08000029
E2438,Oadby & Wigston,31981,3763,,,8.498804146,86,,,,E,E07000135
W7201,Blaenau Gwent,195794,24447,,,8.00891725,88,,,,W,W06000019
E2633,Great Yarmouth,124306,15865,,,7.835234794,89,,,,E,E07000145
E5040,Havering,360377,46700,,,7.716852248,90,,,,E,E09000016
E3531,Babergh,114279,14914,,,7.662531849,91,,,,E,E07000200
W7701,Neath & Port Talbot,276856,36300,,,7.626887052,92,,,,W,W06000012
W7601,Cardiff,857266,114818,,,7.466303193,93,,,,W,W06000015
E1101,Plymouth,592708,80505,,,7.362375008,94,,,,E,E06000026
E2101,Isle of Wight,182071,25500,,,7.140039216,95,,,,E,E06000046
E3735,Warwick,204157,28618,,,7.133866797,96,,,,E,E07000222
E0703,Redcar & Cleveland,203203,28584,,,7.10897705,97,,,,E,E06000003
S8803,Perthshire & Kinross,623432,89164,,,6.991969853,98,,,,S,S12000048
E1033,Chesterfield,133904,19272,,,6.948111249,99,,,,E,E07000034
E0305,Windsor & Maidenhead,160715,23558,,,6.82209865,100,,,,E,E06000040
E2231,Ashford,221664,33000,,,6.717090909,102,,,,E,E07000105
E4401,Barnsley,608951,91063,,,6.687139673,103,,,,E,E08000016
E4703,Kirklees,719996,108421,,,6.640743029,104,,,,E,E08000034
E4501,Gateshead,684966,106657,,,6.422138256,105,,,,E,E08000037
E1735,Gosport,49600,7750,,,6.4,106,,,,E,E07000088
E5019,Southwark,1065820,167926,,,6.346962352,107,,,,E,E09000028
E5033,Brent,828007,135668,,,6.103185718,109,,,,E,E09000005
E4305,Wirral,254484,41757,,,6.094403334,110,,,,E,E08000015
E0301,Bracknell Forest,110000,18400,,,5.97826087,112,,,,E,E06000036
E3837,Worthing,202298,34566,,,5.852514031,113,,,,E,E07000229
E1937,Stevenage,234987,40286,,,5.83296927,114,,,,E,E07000243
N9702,Ards and North Down,62725,11000,,,5.702272727,115,,,,N,N09000011
E1940,Welwyn Hatfield,252628,44385,,,5.691742706,116,,,,E,E07000241
E1102,Torbay,364245,64217,,,5.672096174,117,,,,E,E06000027
E1702,Southampton,307397,55450,,,5.54367899,118,,,,E,E06000045
E5049,Waltham Forest,428161,78295,,,5.468561211,119,,,,E,E09000031
E3534,Mid Suffolk,113102,20977,,,5.391714735,120,,,,E,E07000203
N9709,Mid and East Antrim,50030,9393,,,5.326306824,121,,,,N,N09000008
N9703,"Armagh City, Banbridge and Craigavon",55765,10685,,,5.218998596,122,,,,N,N09000002
S8602,Edinburgh,1641389,315281,,,5.206114545,123,,,,S,S12000036
E1743,Winchester,161722,31089,,,5.20190421,124,,,,E,E07000094
E5048,Sutton,407626,78550,,,5.189382559,125,,,,E,E09000029
E0304,Slough,428876,83158,,,5.157363092,126,,,,E,E06000039
E5030,Barking & Dagenham,1309122,255996,,,5.113837716,127,,,,E,E09000002
S8603,Midlothian,321050,62984,,,5.097326305,128,,,,S,S12000019
E1204,"Bournemouth, Christchurch & Poole",251519,49350,,,5.096636272,129,,,,E,E06000058
E5012,Greenwich,396946,77919,,,5.09434156,130,,,,E,E09000011
E3202,Shropshire,286068,56598,,,5.054383547,131,,,,E,E06000051
E2802,West Northamptonshire,527422,104771,,,5.034045681,132,,,,E,E06000062
E2004,North Lincolnshire,135940,27073,,,5.021238873,133,,,,E,E06000013
S8103,Stirling,185654,37882,,,4.900850008,134,,,,S,S12000030
E4604,Sandwell,437001,91173,,,4.79309664,135,,,,E,E08000028
E0303,Reading,402670,88639,,,4.54280847,138,,,,E,E06000038
E2003,North East Lincolnshire,164956,36424,,,4.528772238,139,,,,E,E06000012
E1835,Redditch,103929,23000,,,4.518652174,140,,,,E,E07000236
E1038,North East Derbyshire,142866,31839,,,4.487138415,141,,,,E,E07000038
E1734,Fareham,61256,13900,,,4.406906475,142,,,,E,E07000087
